array_index	run_key	AM_ID	workload	BASE_DEADLINE	DEADLINE_RATIO	actual_deadline	SEED	VARIANT
0	AM100__ratio1.00__seed1001__proposed	AM100	AM100	2600	1.00	2600	1001	proposed
1	AM100__ratio1.00__seed1002__proposed	AM100	AM100	2600	1.00	2600	1002	proposed
2	AM100__ratio1.00__seed1003__proposed	AM100	AM100	2600	1.00	2600	1003	proposed
3	AM100__ratio1.00__seed1004__proposed	AM100	AM100	2600	1.00	2600	1004	proposed
4	AM100__ratio1.00__seed1005__proposed	AM100	AM100	2600	1.00	2600	1005	proposed
5	AM100__ratio1.00__seed1006__proposed	AM100	AM100	2600	1.00	2600	1006	proposed
6	AM100__ratio1.00__seed1007__proposed	AM100	AM100	2600	1.00	2600	1007	proposed
7	AM100__ratio1.00__seed1008__proposed	AM100	AM100	2600	1.00	2600	1008	proposed
8	AM100__ratio1.00__seed1009__proposed	AM100	AM100	2600	1.00	2600	1009	proposed
9	AM100__ratio1.00__seed1010__proposed	AM100	AM100	2600	1.00	2600	1010	proposed
10	AM100__ratio0.90__seed1001__proposed	AM100	AM100	2600	0.90	2340	1001	proposed
11	AM100__ratio0.90__seed1002__proposed	AM100	AM100	2600	0.90	2340	1002	proposed
12	AM100__ratio0.90__seed1003__proposed	AM100	AM100	2600	0.90	2340	1003	proposed
13	AM100__ratio0.90__seed1004__proposed	AM100	AM100	2600	0.90	2340	1004	proposed
14	AM100__ratio0.90__seed1005__proposed	AM100	AM100	2600	0.90	2340	1005	proposed
15	AM100__ratio0.90__seed1006__proposed	AM100	AM100	2600	0.90	2340	1006	proposed
16	AM100__ratio0.90__seed1007__proposed	AM100	AM100	2600	0.90	2340	1007	proposed
17	AM100__ratio0.90__seed1008__proposed	AM100	AM100	2600	0.90	2340	1008	proposed
18	AM100__ratio0.90__seed1009__proposed	AM100	AM100	2600	0.90	2340	1009	proposed
19	AM100__ratio0.90__seed1010__proposed	AM100	AM100	2600	0.90	2340	1010	proposed
20	AM100__ratio0.80__seed1001__proposed	AM100	AM100	2600	0.80	2080	1001	proposed
21	AM100__ratio0.80__seed1002__proposed	AM100	AM100	2600	0.80	2080	1002	proposed
22	AM100__ratio0.80__seed1003__proposed	AM100	AM100	2600	0.80	2080	1003	proposed
23	AM100__ratio0.80__seed1004__proposed	AM100	AM100	2600	0.80	2080	1004	proposed
24	AM100__ratio0.80__seed1005__proposed	AM100	AM100	2600	0.80	2080	1005	proposed
25	AM100__ratio0.80__seed1006__proposed	AM100	AM100	2600	0.80	2080	1006	proposed
26	AM100__ratio0.80__seed1007__proposed	AM100	AM100	2600	0.80	2080	1007	proposed
27	AM100__ratio0.80__seed1008__proposed	AM100	AM100	2600	0.80	2080	1008	proposed
28	AM100__ratio0.80__seed1009__proposed	AM100	AM100	2600	0.80	2080	1009	proposed
29	AM100__ratio0.80__seed1010__proposed	AM100	AM100	2600	0.80	2080	1010	proposed
30	AM100__ratio0.70__seed1001__proposed	AM100	AM100	2600	0.70	1820	1001	proposed
31	AM100__ratio0.70__seed1002__proposed	AM100	AM100	2600	0.70	1820	1002	proposed
32	AM100__ratio0.70__seed1003__proposed	AM100	AM100	2600	0.70	1820	1003	proposed
33	AM100__ratio0.70__seed1004__proposed	AM100	AM100	2600	0.70	1820	1004	proposed
34	AM100__ratio0.70__seed1005__proposed	AM100	AM100	2600	0.70	1820	1005	proposed
35	AM100__ratio0.70__seed1006__proposed	AM100	AM100	2600	0.70	1820	1006	proposed
36	AM100__ratio0.70__seed1007__proposed	AM100	AM100	2600	0.70	1820	1007	proposed
37	AM100__ratio0.70__seed1008__proposed	AM100	AM100	2600	0.70	1820	1008	proposed
38	AM100__ratio0.70__seed1009__proposed	AM100	AM100	2600	0.70	1820	1009	proposed
39	AM100__ratio0.70__seed1010__proposed	AM100	AM100	2600	0.70	1820	1010	proposed
40	AM250__ratio1.00__seed1001__proposed	AM250	AM250	2700	1.00	2700	1001	proposed
41	AM250__ratio1.00__seed1002__proposed	AM250	AM250	2700	1.00	2700	1002	proposed
42	AM250__ratio1.00__seed1003__proposed	AM250	AM250	2700	1.00	2700	1003	proposed
43	AM250__ratio1.00__seed1004__proposed	AM250	AM250	2700	1.00	2700	1004	proposed
44	AM250__ratio1.00__seed1005__proposed	AM250	AM250	2700	1.00	2700	1005	proposed
45	AM250__ratio1.00__seed1006__proposed	AM250	AM250	2700	1.00	2700	1006	proposed
46	AM250__ratio1.00__seed1007__proposed	AM250	AM250	2700	1.00	2700	1007	proposed
47	AM250__ratio1.00__seed1008__proposed	AM250	AM250	2700	1.00	2700	1008	proposed
48	AM250__ratio1.00__seed1009__proposed	AM250	AM250	2700	1.00	2700	1009	proposed
49	AM250__ratio1.00__seed1010__proposed	AM250	AM250	2700	1.00	2700	1010	proposed
50	AM250__ratio0.90__seed1001__proposed	AM250	AM250	2700	0.90	2430	1001	proposed
51	AM250__ratio0.90__seed1002__proposed	AM250	AM250	2700	0.90	2430	1002	proposed
52	AM250__ratio0.90__seed1003__proposed	AM250	AM250	2700	0.90	2430	1003	proposed
53	AM250__ratio0.90__seed1004__proposed	AM250	AM250	2700	0.90	2430	1004	proposed
54	AM250__ratio0.90__seed1005__proposed	AM250	AM250	2700	0.90	2430	1005	proposed
55	AM250__ratio0.90__seed1006__proposed	AM250	AM250	2700	0.90	2430	1006	proposed
56	AM250__ratio0.90__seed1007__proposed	AM250	AM250	2700	0.90	2430	1007	proposed
57	AM250__ratio0.90__seed1008__proposed	AM250	AM250	2700	0.90	2430	1008	proposed
58	AM250__ratio0.90__seed1009__proposed	AM250	AM250	2700	0.90	2430	1009	proposed
59	AM250__ratio0.90__seed1010__proposed	AM250	AM250	2700	0.90	2430	1010	proposed
60	AM250__ratio0.80__seed1001__proposed	AM250	AM250	2700	0.80	2160	1001	proposed
61	AM250__ratio0.80__seed1002__proposed	AM250	AM250	2700	0.80	2160	1002	proposed
62	AM250__ratio0.80__seed1003__proposed	AM250	AM250	2700	0.80	2160	1003	proposed
63	AM250__ratio0.80__seed1004__proposed	AM250	AM250	2700	0.80	2160	1004	proposed
64	AM250__ratio0.80__seed1005__proposed	AM250	AM250	2700	0.80	2160	1005	proposed
65	AM250__ratio0.80__seed1006__proposed	AM250	AM250	2700	0.80	2160	1006	proposed
66	AM250__ratio0.80__seed1007__proposed	AM250	AM250	2700	0.80	2160	1007	proposed
67	AM250__ratio0.80__seed1008__proposed	AM250	AM250	2700	0.80	2160	1008	proposed
68	AM250__ratio0.80__seed1009__proposed	AM250	AM250	2700	0.80	2160	1009	proposed
69	AM250__ratio0.80__seed1010__proposed	AM250	AM250	2700	0.80	2160	1010	proposed
70	AM250__ratio0.70__seed1001__proposed	AM250	AM250	2700	0.70	1890	1001	proposed
71	AM250__ratio0.70__seed1002__proposed	AM250	AM250	2700	0.70	1890	1002	proposed
72	AM250__ratio0.70__seed1003__proposed	AM250	AM250	2700	0.70	1890	1003	proposed
73	AM250__ratio0.70__seed1004__proposed	AM250	AM250	2700	0.70	1890	1004	proposed
74	AM250__ratio0.70__seed1005__proposed	AM250	AM250	2700	0.70	1890	1005	proposed
75	AM250__ratio0.70__seed1006__proposed	AM250	AM250	2700	0.70	1890	1006	proposed
76	AM250__ratio0.70__seed1007__proposed	AM250	AM250	2700	0.70	1890	1007	proposed
77	AM250__ratio0.70__seed1008__proposed	AM250	AM250	2700	0.70	1890	1008	proposed
78	AM250__ratio0.70__seed1009__proposed	AM250	AM250	2700	0.70	1890	1009	proposed
79	AM250__ratio0.70__seed1010__proposed	AM250	AM250	2700	0.70	1890	1010	proposed
